Sheet by Hematite based on 1.1 data provided by @Kaphotics!,,,,,,,,,,,,,,,,,,,,
Pokémon,,Sticker,Lv,Ability,,Item,Moves,Nature,EVs,,,,,,IVs,,,,,
,Budew,,7,Poison Point,,,Absorb / Growth / Stun Spore / Worry Seed,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Cherubi,,7,Chlorophyll,,,Morning Sun / Tackle / Leafage,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 10,,Twins Liv,,,,,,,,,,,,,,,,,
,Pachirisu,,9,Pickup,,,Growl / Baby-Doll Eyes / Quick Attack / Charm,Quirky,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 11,,Twins Liz,,,,,,,,,,,,,,,,,
,Pachirisu,,9,Pickup,,,Growl / Baby-Doll Eyes / Quick Attack / Charm,Quirky,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 12,,Camper Jacob,,,,,,,,,,,,,,,,,
,Ponyta,,14,Flash Fire,,,Tackle / Growl / Tail Whip / Ember,Hasty,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 13,,Picnicker Siena,,,,,,,,,,,,,,,,,
,Shinx,,12,Intimidate,,,Tackle / Leer / Thunder Shock / Bite,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Pachirisu,,12,Pickup,,,Growl / Baby-Doll Eyes / Quick Attack / Charm,Quirky,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 14,,Hiker Daniel,,,,,,,,,,,,,,,,,
,Geodude,,11,Rock Head,,,Tackle / Defense Curl / Rock Polish / Rollout,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Machop,,11,No Guard,,,Low Kick / Leer / Focus Energy / Revenge,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Geodude,,11,Rock Head,,,Tackle / Defense Curl / Rock Polish / Rollout,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Bidoof,,11,Unaware,,,Tackle / Growl / Defense Curl / Rollout,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 15,,Hiker Nicholas,,,,,,,,,,,,,,,,,
,Onix,,14,Sturdy,,,Tackle / Harden / Bind / Rock Throw,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 16,,Battle Girl Kelsey,,,,,,,,,,,,,,,,,
,Machop,,15,No Guard,,,Low Kick / Leer / Focus Energy / Low Sweep,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 17,,Aroma Lady Elizabeth,,,,,,,,,,,,,,,,,
,Budew,,14,Poison Point,,,Absorb / Growth / Stun Spore / Worry Seed,Calm,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 18,,Fisher Andrew,,,,,,,,,,,,,,,,,
,Magikarp,,10,Swift Swim,,,Splash,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Magikarp,,10,Swift Swim,,,Splash,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Magikarp,,10,Swift Swim,,,Splash,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Magikarp,,10,Swift Swim,,,Splash,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Magikarp,,10,Swift Swim,,,Splash,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Magikarp,,10,Swift Swim,,,Splash,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 19,,Fisher Joseph,,,,,,,,,,,,,,,,,
,Goldeen,,14,Water Veil,,,Peck / Tail Whip / Supersonic / Water Pulse,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 20,,Fisher Zachary,,,,,,,,,,,,,,,,,
,Magikarp,,10,Swift Swim,,,Splash,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Goldeen,,13,Water Veil,,,Peck / Tail Whip / Supersonic / Water Pulse,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Magikarp,,10,Swift Swim,,,Splash,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 21,,Cyclist Axel,,,,,,,,,,,,,,,,,
,Staravia,,17,Intimidate,,,Growl / Quick Attack / Wing Attack / Double Team,Naive,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 22,,Cyclist James,,,,,,,,,,,,,,,,,
,Ponyta,,17,Run Away,,,Tackle / Growl / Tail Whip / Flame Charge,Hasty,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 23,,Cyclist John,,,,,,,,,,,,,,,,,
,Starly,,15,Keen Eye,,,Growl / Quick Attack / Wing Attack / Double Team,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Staravia,,15,Intimidate,,,Growl / Quick Attack / Wing Attack / Double Team,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 24,,Cyclist Ryan,,,,,,,,,,,,,,,,,
,Zubat,,17,Inner Focus,,,Absorb / Astonish / Mean Look / Poison Fang,Hasty,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 25,,Cyclist Megan,,,,,,,,,,,,,,,,,
,Shinx,,17,Intimidate,,,Tackle / Leer / Bite / Spark,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 26,,Cyclist Nicole,,,,,,,,,,,,,,,,,
,Starly,,15,Keen Eye,,,Tackle / Growl / Quick Attack / Wing Attack,Quirky,0,0,0,0,0,0,0,0,0,0,0,0
,Ponyta,,15,Run Away,,,Tackle / Growl / Tail Whip / Flame Charge,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 27,,Cyclist Kayla,,,,,,,,,,,,,,,,,
,Pikachu,,17,Static,,,Quick Attack / Tail Whip / Nuzzle / Electro Ball,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 28,,Cyclist Rachel,,,,,,,,,,,,,,,,,
,Shinx,,15,Intimidate,,,Tackle / Leer / Thunder Shock / Bite,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Shinx,,15,Intimidate,,,Tackle / Leer / Thunder Shock / Bite,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 29,,Youngster Austin,,,,,,,,,,,,,,,,,
,Starly,,15,Keen Eye,,,Growl / Quick Attack / Wing Attack / Double Team,Docile,0,0,0,0,0,0,0,0,0,0,0,0
,Geodude,,15,Rock Head,,,Defense Curl / Sandstorm / Rock Polish / Rollout,Naive,0,0,0,0,0,0,0,0,0,0,0,0
,Chimchar,,18,Blaze,,,Leer / Taunt / Fury Swipes / Flame Wheel,Docile,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 30,,Camper Anthony,,,,,,,,,,,,,,,,,
,Ponyta,,19,Run Away,,,Tackle / Growl / Tail Whip / Flame Charge,Hasty,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 31,,Picnicker Lauren,,,,,,,,,,,,,,,,,
,Pachirisu,,19,Pickup,,,Baby-Doll Eyes / Quick Attack / Spark / Nuzzle,Quirky,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 32,,Hiker Kevyn,,,,,,,,,,,,,,,,,
,Geodude,,15,Rock Head,,,Tackle / Defense Curl / Rock Polish / Rollout,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Geodude,,16,Rock Head,,,Tackle / Rock Polish / Harden / Rock Throw,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Zubat,,17,Inner Focus,,,Absorb / Supersonic / Astonish / Poison Fang,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Geodude,,16,Rock Head,,,Tackle / Rock Polish / Harden / Rock Throw,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 33,,Hiker Justin,,,,,,,,,,,,,,,,,
,Geodude,,16,Rock Head,,,Tackle / Sandstorm / Harden / Rock Throw,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Bronzor,,18,Levitate,,,Confusion / Confuse Ray / Payback / Gyro Ball,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 34,,Battle Girl Helen,,,,,,,,,,,,,,,,,
,Meditite,,18,Pure Power,,,Pound / Low Kick / Confusion / Force Palm,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Machop,,18,No Guard,,,Low Kick / Leer / Low Sweep / Knock Off,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 35,,Hiker Robert,,,,,,,,,,,,,,,,,
,Geodude,,17,Rock Head,,,Sandstorm / Rock Polish / Harden / Rock Throw,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Geodude,,17,Rock Head,,,Sandstorm / Rock Polish / Harden / Rock Throw,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 36,,Hiker Alexander,,,,,,,,,,,,,,,,,
,Golbat,,35,Inner Focus,,,Mean Look / Poison Fang / Air Cutter / Bite,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Graveler,,35,Rock Head,,,Sandstorm / Harden / Smack Down / Bulldoze,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Onix,,35,Sturdy,,,Smack Down / Curse / Screech / Sand Tomb,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 37,,Hiker Jonathan,,,,,,,,,,,,,,,,,
,Onix,,19,Sturdy,,,Harden / Bind / Smack Down / Curse,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 38,,Black Belt Kyle,,,,,,,,,,,,,,,,,
,Machop,,19,No Guard,,,Leer / Revenge / Low Sweep / Knock Off,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 39,,Fisher Cody,,,,,,,,,,,,,,,,,
,Barboach,,31,Oblivious,,,Mud-Slap / Water Pulse / Aqua Tail / Muddy Water,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Gyarados,,31,Intimidate,,,Leer / Ice Fang / Waterfall / Crunch,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 40,,Aroma Lady Hannah,,,,,,,,,,,,,,,,,
,Combee,,16,Honey Gather,,,Sweet Scent / Gust / Struggle Bug / Bug Bite,Bashful,0,0,0,0,0,0,0,0,0,0,0,0
,Roselia,,18,Poison Point,,,Poison Sting / Mega Drain / Leech Seed / Magical Leaf,Calm,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 41,,Artist William,,,,,,,,,,,,,,,,,
,Mime Jr.,,17,Filter,,,Copycat / Encore / Confusion / Role Play,Bold,0,0,0,0,0,0,0,0,0,0,0,0
,Bonsly,,17,Rock Head,,,Fake Tears / Copycat / Flail / Mimic,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 42,,Pokémon Breeder Albert,,,,,,,,,,,,,,,,,
,Bonsly,,16,Sturdy,,,Copycat / Flail / Rock Throw / Mimic,Impish,0,0,0,0,0,0,0,0,0,0,0,0
,Budew,,15,Poison Point,,,Absorb / Growth / Stun Spore / Worry Seed,Bold,0,0,0,0,0,0,0,0,0,0,0,0
,Pichu,,17,Static,,,Thunder Shock / Tail Whip / Play Nice / Nuzzle,Bold,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 43,,Pokémon Breeder Jennifer,,,,,,,,,,,,,,,,,
,Mime Jr.,,16,Filter,,,Pound / Copycat / Encore / Confusion,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Budew,,15,Poison Point,,,Absorb / Growth / Stun Spore / Worry Seed,Hasty,0,0,0,0,0,0,0,0,0,0,0,0
,Cleffa,,17,Cute Charm,,,Pound / Sing / Sweet Kiss / Disarming Voice,Hasty,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 44,,Cowgirl Shelley,,,,,,,,,,,,,,,,,
,Bidoof,,14,Unaware,,,Growl / Defense Curl / Rollout / Headbutt,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Bidoof,,15,Unaware,,,Growl / Defense Curl / Rollout / Headbutt,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Bidoof,,16,Unaware,,,Growl / Defense Curl / Rollout / Headbutt,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Bidoof,,15,Unaware,,,Growl / Defense Curl / Rollout / Headbutt,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Bidoof,,15,Unaware,,,Growl / Defense Curl / Rollout / Headbutt,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 45,,Jogger Richard,,,,,,,,,,,,,,,,,
,Luxio,,19,Intimidate,,,Leer / Charge / Bite / Spark,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 46,,Poké Kid Danielle,,,,,,,,,,,,,,,,,
,Pikachu,,19,Static,,,Sweet Kiss / Charm / Quick Attack / Electro Ball,Hasty,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 47,,Young Couple Ty,,,,,,,,,,,,,,,,,
,Machop,,19,No Guard,,,Leer / Focus Energy / Low Sweep / Knock Off,Impish,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 48,,Young Couple Sue,,,,,,,,,,,,,,,,,
,Meditite,,19,Pure Power,,,Low Kick / Detect / Force Palm / Psybeam,Bashful,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 49,,Pokémon Breeder Kahlil,,,,,,,,,,,,,,,,,
,Pichu,,18,Static,,,Thunder Shock / Tail Whip / Play Nice / Nuzzle,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Pikachu,,19,Static,,,Nuzzle / Quick Attack / Double Team / Electro Ball,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Happiny,,17,Serene Grace,,,Minimize / Sweet Kiss / Disarming Voice / Covet,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 50,,Pokémon Breeder Amber,,,,,,,,,,,,,,,,,
,Cleffa,,19,Cute Charm,,,Copycat / Sing / Sweet Kiss / Disarming Voice,Calm,0,0,0,0,0,0,0,0,0,0,0,0
,Clefairy,,17,Cute Charm,,,Sweet Kiss / Disarming Voice / Encore / Copycat,Calm,0,0,0,0,0,0,0,0,0,0,0,0
,Happiny,,18,Serene Grace,,,Copycat / Sweet Kiss / Disarming Voice / Covet,Calm,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 51,,Twins Teri,,,,,,,,,,,,,,,,,
,Pikachu,,21,Static,,,Nuzzle / Growl / Quick Attack / Spark,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 52,,Twins Tia,,,,,,,,,,,,,,,,,
,Clefairy,,21,Magic Guard,,,Disarming Voice / Encore / Defense Curl / Life Dew,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 53,,Ace Trainer Ernest,,,,,,,,,,,,,,,,,
,Mothim,,25,Swarm,,,Quiver Dance / Bug Bite / String Shot / Confusion,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Onix,,26,Rock Head,,,Harden / Smack Down / Curse / Rock Slide,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Luxio,,27,Intimidate,,,Leer / Bite / Spark / Roar,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 54,,Ace Trainer Alyssa,,,,,,,,,,,,,,,,,
,Ponyta,,27,Run Away,,,Growl / Tail Whip / Ember / Flame Wheel,Careful,0,0,0,0,0,0,0,0,0,0,0,0
,Grotle,,27,Overgrow,,,Razor Leaf / Curse / Bite / Mega Drain,Impish,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 55,,Veteran Brian,,,,,,,,,,,,,,,,,
,Buizel,,26,Swift Swim,,,Growl / Tail Whip / Bite / Aqua Jet,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Girafarig,,26,Inner Focus,,,Astonish / Assurance / Stomp / Psybeam,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Machoke,,26,Guts,,,Focus Energy / Revenge / Low Sweep / Knock Off,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 56,,Black Belt Adam,,,,,,,,,,,,,,,,,
,Machoke,,29,No Guard,,,Leer / Focus Energy / Low Sweep / Knock Off,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 57,,Ninja Boy Joel,,,,,,,,,,,,,,,,,
,Zubat,,23,Inner Focus,,,Absorb / Astonish / Mean Look / Poison Fang,Hasty,0,0,0,0,0,0,0,0,0,0,0,0
,Skorupi,,25,Battle Armor,,,Hone Claws / Poison Fang / Venoshock / Knock Off,Naive,0,0,0,0,0,0,0,0,0,0,0,0
,Zubat,,23,Inner Focus,,,Absorb / Astonish / Mean Look / Poison Fang,Hasty,0,0,0,0,0,0,0,0,0,0,0,0
,Golbat,,25,Inner Focus,,,Screech / Absorb / Astonish / Poison Fang,Hasty,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 58,,Ninja Boy Nathan,,,,,,,,,,,,,,,,,
,Croagunk,,25,Anticipation,,,Poison Sting / Mud-Slap / Astonish / Venoshock,Docile,0,0,0,0,0,0,0,0,0,0,0,0
,Golbat,,25,Inner Focus,,,Absorb / Astonish / Mean Look / Poison Fang,Hasty,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 59,,Ninja Boy Davey,,,,,,,,,,,,,,,,,
,Dustox,,27,Shield Dust,,,Poison Powder / Venoshock / Leech Life / Light Screen,Hasty,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 60,,Dragon Tamer Patrick,,,,,,,,,,,,,,,,,
,Gible,,39,Sand Veil,,,Sand Tomb / Bulldoze / Bite / Dragon Claw,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 61,,Bird Keeper Brianna,,,,,,,,,,,,,,,,,
,Hoothoot,,27,Keen Eye,,,Growl / Reflect / Air Slash / Extrasensory,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Noctowl,,27,Keen Eye,,,Sky Attack / Peck / Echoed Voice / Extrasensory,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 62,,Double Team Zac,,,,,,,,,,,,,,,,,
,Gyarados,,27,Intimidate,,,Leer / Twister / Waterfall / Crunch,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 63,,Double Team Jen,,,,,,,,,,,,,,,,,
,Raichu,,27,Static,,,Thunder Punch / Nuzzle / Thunderbolt / Light Screen,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 64,,Bird Keeper Alexandra,,,,,,,,,,,,,,,,,
,Hoothoot,,19,Keen Eye,,,Peck / Echoed Voice / Confusion / Air Slash,Calm,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 65,,Ninja Boy Zach,,,,,,,,,,,,,,,,,
,Zubat,,13,Inner Focus,,,Absorb / Supersonic / Astonish / Mean Look,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Zubat,,14,Inner Focus,,,Absorb / Supersonic / Astonish / Mean Look,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Zubat,,15,Inner Focus,,,Absorb / Mean Look / Astonish / Poison Fang,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 66,,Black Belt Sean,,,,,,,,,,,,,,,,,
,Croagunk,,28,Anticipation,,,Poison Sting / Mud-Slap / Revenge / Sucker Punch,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Meditite,,27,Pure Power,,,Detect / Force Palm / Psybeam / Calm Mind,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Machoke,,29,No Guard,,,Leer / Focus Energy / Revenge / Knock Off,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 67,,Ninja Boy Nick,,,,,,,,,,,,,,,,,
,Skorupi,,27,Battle Armor,,,Hone Claws / Poison Fang / Bug Bite / Knock Off,Naive,0,0,0,0,0,0,0,0,0,0,0,0
,Golbat,,27,Inner Focus,,,Screech / Absorb / Poison Fang / Air Cutter,Hasty,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 68,,Bird Keeper Katherine,,,,,,,,,,,,,,,,,
,Noctowl,,31,Keen Eye,,,Sky Attack / Reflect / Psycho Shift / Extrasensory,Calm,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 69,,Rich Boy Jason,,,,,,,,,,,,,,,,,
,Luxio,,19,Intimidate,,,Leer / Charge / Bite / Spark,Docile,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 70,,Lady Melissa,,,,,,,,,,,,,,,,,
,Buneary,,19,Klutz,,,Pound / Defense Curl / Baby-Doll Eyes / Quick Attack,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 71,,Gentleman Jeremy,,,,,,,,,,,,,,,,,
,Chatot,,19,Tangled Feet,,,Hyper Voice / Chatter / Confide / Growl,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 72,,Madame Reina,,,,,,,,,,,,,,,,,
,Roselia,,19,Poison Point,,,Poison Sting / Mega Drain / Leech Seed / Magical Leaf,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 73,,Police Officer Bobby,,,,,,,,,,,,,,,,,
,Hoothoot,,18,Keen Eye,,,Growl / Reflect / Psycho Shift / Air Slash,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Machop,,18,No Guard,,,Leer / Focus Energy / Low Sweep / Knock Off,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 74,,Police Officer Alex,,,,,,,,,,,,,,,,,
,Hoothoot,,18,Keen Eye,,,Growl / Confusion / Reflect / Psycho Shift,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Machop,,18,No Guard,,,Leer / Revenge / Low Sweep / Knock Off,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 75,,Police Officer Dylan,,,,,,,,,,,,,,,,,
,Hoothoot,,18,Keen Eye,,,Growl / Echoed Voice / Reflect / Psycho Shift,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Meditite,,18,Pure Power,,,Confusion / Detect / Feint / Force Palm,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 76,,Fisher Juan,,,,,,,,,,,,,,,,,
,Gyarados,,21,Intimidate,,,Twister / Ice Fang / Scary Face / Waterfall,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 77,,Fisher Cameron,,,,,,,,,,,,,,,,,
,Goldeen,,19,Water Veil,,,Tail Whip / Supersonic / Water Pulse / Horn Attack,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Barboach,,19,Oblivious,,,Mud-Slap / Rest / Snore / Water Pulse,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 78,,Fisher Travis,,,,,,,,,,,,,,,,,
,Barboach,,17,Oblivious,,,Mud-Slap / Rest / Snore / Water Pulse,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Barboach,,18,Oblivious,,,Mud-Slap / Rest / Snore / Water Pulse,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Shellos,,20,Storm Drain,,,Mud-Slap / Harden / Recover / Water Pulse,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Barboach,,17,Oblivious,,,Mud-Slap / Rest / Snore / Water Pulse,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 79,,Pokémon Ranger Taylor,,,,,,,,,,,,,,,,,
,Luxio,,21,Intimidate,,,Tackle / Leer / Bite / Spark,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Buizel,,21,Swift Swim,,,Quick Attack / Water Gun / Bite / Swift,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 80,,Pokémon Ranger Jeffrey,,,,,,,,,,,,,,,,,
,Prinplup,,21,Torrent,,,Metal Claw / Charm / Peck / Bubble Beam,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Prinplup,,21,Torrent,,,Metal Claw / Tackle / Peck / Bubble Beam,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 81,,Pokémon Ranger Allison,,,,,,,,,,,,,,,,,
,Aipom,,21,Pickup,,,Sand Attack / Astonish / Tickle / Fury Swipes,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Marill,,21,Thick Fat,,,Bubble Beam / Slam / Bounce / Play Rough,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 82,,Scientist Stefano,,,,,,,,,,,,,,,,,
,Kadabra,,21,Synchronize,,,Kinesis / Psybeam / Reflect / Psycho Cut,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 83,,Police Officer Caleb,,,,,,,,,,,,,,,,,
,Hoothoot,,17,Keen Eye,,,Growl / Confusion / Reflect / Psycho Shift,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Meditite,,19,Pure Power,,,Confusion / Detect / Feint / Force Palm,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 84,,Swimmer Shelton,,,,,,,,,,,,,,,,,
,Gyarados,,30,Intimidate,,,Leer / Twister / Whirlpool / Rain Dance,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Gyarados,,29,Intimidate,,,Leer / Twister / Brine / Rain Dance,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
